"Test","Animal","Experiment","Stage","Trial","P4_tget_latency_to_first_entry","Distance.m.","Path_efficiency","Q1_entries","Q1_time","Q1_distance","Q1_mean_visit","Q2_entries","Q2_time","Q2_distance","Q2_mean_visit","Q3_entries","Q3_time","Q3_distance","Q3_mean_visit","Q4_tget_entries","Q4_tget_time","Q4_tget_distance","Q4_tget_latency_to_first_entry","Q4_tget_mean_visit","P4_tget_entries","P4_tget_mean_distance_from","P4_tget_time_getting_closer_to_zone","Q4_Pecent_time","P4_time_getting_closer","Fake_crossings_P1.P2.P3"
136,18,2,5,1,"","12,789","0,027",1,"0,1","0,033","0,1",16,"29,1","5,852","1,8",7,"11,6","2,997","1,7",1,"0,2","0,049","4,3","0,2",0,"0,517","30,4",0,51,"4"
131,13,2,5,1,"","12,735","0,010",0,"0,0","0,000","0,0",6,"4,0","1,286","0,7",4,"14,4","2,786","3,6",5,"12,3","2,910","14,8","2,5",0,"0,384","30,2",21,51,"2"
295,22,4,5,1,"21,4","12,689","0,075",6,"16,6","3,277","2,8",2,"5,9","1,484","2,9",5,"12,5","2,242","2,5",8,"25,0","5,686","2,1","3,1",3,"0,274","28,2",42,47,"0,00"
145,31,6,5,1,"","12,679","0,067",11,"31,1","6,241","2,8",7,"15,1","3,153","2,2",1,"2,3","0,643","2,3",6,"11,6","2,641","3,4","1,9",0,"0,398","31,1",19,52,"1,00"
113,10,1,5,1,"","12,648","0,013",3,"12,5","2,813","4,2",7,"25,1","3,684","3,6",6,"18,3","4,779","3,0",1,"1,9","0,702","13,8","1,9",0,"0,545","27,5",3,46,"2"
134,16,2,5,1,"18,1","12,510","0,071",2,"0,5","0,130","0,2",0,"0,0","0,000","0,0",4,"5,9","1,081","1,5",6,"42,4","9,093","3,6","7,1",3,"0,167","29,4",71,49,"2"
135,17,2,5,1,"20,1","12,199","0,039",4,"0,9","0,206","0,2",6,"7,6","1,819","1,3",2,"10,0","2,159","5,0",2,"15,3","3,430","17,2","7,6",3,"0,321","28,9",26,49,"5"
233,29,5,5,1,"19,4","12,127","0,073",3,"6,3","1,835","2,1",4,"27,0","2,586","6,7",6,"13,4","3,761","2,2",5,"13,4","3,945","8,0","2,7",1,"0,470","25,0",22,42,"0,00"
85,1,1,5,1,"14,8","11,879","0,040",8,"17,0","3,140","2,1",4,"6,2","1,606","1,5",4,"8,3","1,712","2,1",8,"23,0","4,398","0,0","2,9",2,"0,258","27,5",39,46,"7"
89,5,1,5,1,"8,2","11,567","0,058",6,"14,0","3,094","2,3",2,"0,8","0,150","0,4",3,"7,4","1,971","2,5",8,"34,2","5,413","0,0","4,3",3,"0,256","22,8",57,38,"2"
129,11,2,5,1,"","9,784","0,067",0,"0,0","0,000","0,0",2,"7,9","1,712","4,0",5,"34,9","4,531","7,0",3,"11,5","2,334","12,4","3,8",0,"0,413","21,7",19,36,"1"
130,12,2,5,1,"","8,768","0,071",0,"0,0","0,000","0,0",2,"6,0","1,136","3,0",4,"22,1","3,996","5,5",4,"25,0","2,230","9,2","6,2",0,"0,423","38,4",42,65,"1"
112,9,1,5,1,"34,2","5,521","0,128",1,"3,3","0,731","3,3",2,"5,2","1,094","2,6",3,"9,8","1,834","3,3",2,"38,4","1,482","0,0","19,2",2,"0,353","15,7",66,27,"0"
91,7,1,5,1,"0,0","4,804","0,078",1,"2,5","0,626","2,5",0,"0,0","0,000","0,0",3,"5,7","1,280","1,9",4,"50,1","2,389","0,0","12,5",1,"0,249","11,3",84,19,"2"
90,6,1,5,1,"","4,521","0,172",1,"25,1","0,539","25,1",0,"0,0","0,000","0,0",2,"6,5","0,766","3,3",2,"27,1","3,120","25,2","13,5",0,"0,301","15,1",45,25,"0"
230,26,5,5,1,"","0,475","0,577",1,"60,0","0,475","60,0",0,"0,0","0,000","0,0",0,"0,0","0,000","0,0",0,"0,0","0,000","","0,0",0,"0,392","16,6",0,28,"1,00"
