Test,Animal,Experiment,Stage,Trial,P4_tget_latency_to_first_entry,Distance(m),Path_efficiency,Q1_entries,Q1_time,Q1_distance,Q1_mean_visit,Q2_entries,Q2_time,Q2_distance,Q2_mean_visit,Q3_entries,Q3_time,Q3_distance,Q3_mean_visit,Q4_tget_entries,Q4_tget_time,Q4_tget_distance,Q4_tget_latency_to_first_entry,Q4_tget_mean_visit,P4_tget_entries,P4_tget_mean_distance_from,P4_tget_time_getting_closer_to_zone,Q4_Pecent_time,P4_time_getting_closer,Fake_crossings_P1.P2.P3
35,2,1,2,3,"38,4","8,156","0,045",3,"5,9","1,453","2,0",2,"2,1","0,515","1,0",3,"4,3","1,269","1,4",6,"23,7","4,239","0,0","4,0",0,"0,155","15,2",62,40,2
77,40,7,4,1,"33,6","8,116","0,075",4,"11,1","2,481","2,8",3,"6,1","1,799","2,0",2,"6,1","1,865","3,1",3,"10,2","1,971","15,2","3,4",1,"0,441","16,3",30,49,"1,00"
101,9,1,2,2,"47,5","8,026","0,053",3,"7,3","1,722","2,4",1,"3,5","0,871","3,5",2,"3,4","1,113","1,7",5,"30,2","3,209","4,5","6,0",1,"0,195","15,7",64,33,0
244,24,4,1,2,"60,0","8,017","0,106",3,"23,9","1,981","8,0",1,"10,2","0,950","10,2",3,"13,5","2,585","4,5",4,"12,4","2,502","3,4","3,1",0,"0,384","21,8",21,36,"2,00"
272,24,4,3,2,"38,8","7,897","0,031",3,"8,1","2,286","2,7",2,"4,4","1,187","2,2",3,"11,6","2,369","3,9",5,"14,6","2,054","0,0","2,9",1,"0,343","14,5",38,37,"1,00"
115,33,6,3,3,"34,5","7,791","0,092",3,"7,2","2,008","2,4",2,"2,3","0,697","1,2",4,"7,7","1,873","1,9",6,"17,4","3,214","1,8","2,9",0,"0,240","16,1",50,47,"1,00"
264,22,4,3,2,"37,9","7,663","0,050",4,"6,9","1,430","1,7",4,"7,9","1,722","2,0",5,"8,2","2,430","1,6",5,"14,9","2,080","1,8","3,0",1,"0,355","17,3",39,46,"1,00"
143,35,6,4,3,"36,6","7,650","0,098",2,"4,7","1,090","2,4",2,"4,7","1,315","2,4",4,"10,9","2,724","2,7",4,"16,2","2,522","2,0","4,1",0,"0,260","17,7",44,48,"3,00"
58,17,2,2,2,"60,0","7,620","0,136",1,"0,2","0,125","0,2",4,"22,4","0,847","5,6",2,"11,0","1,691","5,5",3,"13,6","1,845","0,0","4,5",0,"0,502","15,4",23,26,2
39,12,2,2,3,"60,0","7,594","0,132",0,"0,0","0,000","0,0",2,"21,4","2,187","10,7",3,"14,6","1,330","4,9",3,"15,6","2,282","3,7","5,2",0,"0,506","33,2",26,55,0
166,20,3,3,2,"36,2","7,563","0,046",0,"0,0","0,000","0,0",7,"6,3","1,398","0,9",3,"7,3","1,731","2,4",3,"11,5","1,759","5,3","3,8",0,"0,270","17,1",32,47,3
241,23,4,1,3,"41,1","7,543","0,056",2,"6,8","1,786","3,4",2,"7,4","1,792","3,7",3,"9,8","1,939","3,3",3,"17,1","2,025","6,6","5,7",1,"0,456","17,6",42,43,"1,00"
288,24,4,4,2,"31,2","7,533","0,113",1,"2,9","0,731","2,9",3,"8,5","2,372","2,8",4,"8,4","2,287","2,1",3,"11,4","2,144","7,1","3,8",0,"0,346","16,2",37,52,"0,00"
24,16,2,1,4,"60,0","7,497","0,121",1,"0,3","0,073","0,3",1,"4,4","0,345","4,4",4,"31,1","3,859","7,8",1,"15,1","0,969","24,6","15,1",0,"0,462","35,7",25,60,1
166,30,5,1,1,"60,0","7,486","0,043",1,"4,4","0,859","4,4",3,"9,8","2,065","3,3",4,"35,7","3,255","8,9",3,"10,1","1,307","14,6","3,4",0,"0,443","30,4",17,51,"0,00"
18,15,2,1,2,"60,0","7,468","0,114",0,"0,0","0,000","0,0",3,"14,5","1,700","4,8",4,"27,7","2,809","6,9",4,"13,4","2,074","3,2","3,4",1,"0,506","26,4",22,44,0
243,24,4,1,1,"54,7","7,410","0,111",0,"0,0","0,000","0,0",1,"1,8","0,482","1,8",5,"23,4","5,415","4,7",5,"29,5","1,513","4,6","5,9",0,"0,241","25,6",54,47,"3,00"
7,2,1,1,3,"60,0","7,393","0,057",0,"0,0","0,000","0,0",2,"3,7","0,645","1,8",5,"17,8","3,487","3,6",2,"36,8","2,991","2,2","18,4",3,"0,423","16,1",61,27,1
175,19,3,4,3,"36,7","7,385","0,021",0,"0,0","0,000","0,0",1,"1,2","0,284","1,2",2,"0,8","0,127","0,4",4,"27,8","5,212","0,0","6,9",2,"0,178","16,0",76,44,0
120,34,6,3,4,"41,7","7,362","0,036",2,"6,3","1,400","3,1",2,"6,3","1,431","3,2",3,"13,5","2,712","4,5",4,"15,6","1,819","0,0","3,9",0,"0,334","18,0",37,43,"1,00"
79,6,1,4,3,"60,0","7,359","0,040",2,"2,8","0,571","1,4",1,"0,3","0,035","0,3",4,"5,2","1,172","1,3",6,"49,5","5,088","0,0","8,2",2,"0,233","25,9",83,43,1
139,19,3,1,3,"60,0","7,246","0,002",0,"0,0","0,000","0,0",3,"18,7","1,645","6,2",2,"14,3","1,802","7,2",2,"13,2","1,835","10,4","6,6",0,"0,552","29,6",22,49,0
3,11,2,1,3,"60,0","7,242","0,003",0,"0,0","0,000","0,0",3,"18,4","1,664","6,1",2,"14,0","1,745","7,0",2,"12,8","1,789","10,4","6,4",0,"0,553","30,6",21,51,0
161,19,3,3,1,"27,7","7,129","0,039",1,"0,1","0,026","0,1",2,"2,8","0,649","1,4",1,"0,8","0,273","0,8",5,"12,3","2,908","1,3","2,5",3,"0,247","11,5",44,42,2
