Test,Animal,Experiment,Stage,Trial,P4_tget_latency_to_first_entry,Distance(m),Path_efficiency,Q1_entries,Q1_time,Q1_distance,Q1_mean_visit,Q2_entries,Q2_time,Q2_distance,Q2_mean_visit,Q3_entries,Q3_time,Q3_distance,Q3_mean_visit,Q4_tget_entries,Q4_tget_time,Q4_tget_distance,Q4_tget_latency_to_first_entry,Q4_tget_mean_visit,P4_tget_entries,P4_tget_mean_distance_from,P4_tget_time_getting_closer_to_zone,Q4_Pecent_time,P4_time_getting_closer,Fake_crossings_P1.P2.P3
51,15,2,2,3,"39,0","5,490","0,088",0,"0,0","0,000","0,0",1,"0,5","0,118","0,5",4,"16,3","3,419","4,1",3,"20,2","1,535","2,6","6,7",1,"0,329","18,2",52,47,0
55,39,7,3,3,"24,0","5,462","0,067",2,"2,6","0,403","1,3",2,"3,3","1,084","1,6",3,"12,4","2,623","4,1",3,"5,7","1,352","4,4","1,9",0,"0,364","11,3",24,47,"3,00"
140,19,3,1,4,"60,0","5,444","0,104",0,"0,0","0,000","0,0",2,"17,1","1,365","8,5",1,"12,3","0,885","12,3",2,"17,3","1,681","0,0","8,7",0,"0,514","28,7",29,48,0
4,11,2,1,4,"60,0","5,418","0,115",1,"0,2","0,028","0,2",2,"17,6","1,359","8,8",1,"12,0","0,892","12,0",2,"16,7","1,478","0,0","8,4",0,"0,523","29,2",28,49,1
31,1,1,2,3,"22,4","5,418","0,078",2,"5,2","1,558","2,6",2,"2,7","0,677","1,3",1,"1,9","0,608","1,9",2,"11,9","2,347","4,3","5,9",0,"0,216","10,0",53,45,0
78,6,1,4,2,"37,2","5,377","0,039",1,"4,2","0,706","4,2",1,"2,0","0,475","2,0",2,"4,7","1,382","2,4",3,"25,2","2,553","0,0","8,4",0,"0,255","17,4",68,47,1
285,23,4,4,3,"21,8","5,331","0,105",1,"1,8","0,531","1,8",2,"3,4","1,185","1,7",5,"4,7","1,428","0,9",4,"11,9","2,187","1,6","3,0",0,"0,179","8,1",55,37,"2,00"
164,29,5,1,3,"60,0","5,321","0,114",2,"15,8","1,209","7,9",2,"11,4","1,479","5,7",3,"10,6","1,560","3,5",2,"22,3","1,072","15,6","11,1",0,"0,360","30,0",37,50,"1,00"
39,40,7,2,3,"32,4","5,318","0,139",0,"0,0","0,000","0,0",1,"1,2","0,140","1,2",2,"19,8","2,890","9,9",2,"11,4","2,287","18,5","5,7",1,"0,379","16,8",35,52,"0,00"
256,23,4,2,2,"19,3","5,297","0,048",1,"2,1","0,826","2,1",2,"3,2","1,057","1,6",3,"6,6","2,146","2,2",3,"7,5","1,269","0,6","2,5",0,"0,358","8,1",39,42,"0,00"
23,16,2,1,3,"60,0","5,289","0,157",0,"0,0","0,000","0,0",6,"35,8","2,975","6,0",4,"9,5","1,679","2,4",1,"11,0","0,094","49,0","11,0",0,"0,573","30,5",18,51,0
92,17,2,3,4,"30,4","5,241","0,043",0,"0,0","0,000","0,0",2,"4,5","0,799","2,2",1,"3,8","0,855","3,8",3,"14,6","1,757","0,0","4,9",1,"0,327","14,8",48,49,0
20,15,2,1,4,"30,3","5,225","0,081",1,"0,2","0,000","0,2",1,"1,0","0,291","1,0",3,"10,7","2,042","3,6",3,"12,7","1,674","1,3","4,2",0,"0,276","12,8",42,42,2
16,39,7,1,4,"38,9","5,184","0,094",2,"15,4","2,385","7,7",0,"0,0","0,000","0,0",1,"3,9","0,629","3,9",3,"19,6","2,170","11,2","6,5",1,"0,261","16,9",50,43,"0,00"
103,35,6,2,2,"24,6","5,176","0,050",1,"2,0","0,602","2,0",1,"3,3","0,791","3,3",2,"7,4","1,663","3,7",3,"12,0","2,121","0,0","4,0",1,"0,330","10,5",49,43,"2,00"
265,22,4,3,3,"32,2","5,138","0,080",1,"8,5","1,445","8,5",1,"2,5","0,527","2,5",4,"6,8","1,246","1,7",4,"14,4","1,920","1,1","3,6",0,"0,281","15,0",45,47,"1,00"
47,6,1,2,3,"60,0","5,121","0,009",2,"8,4","1,714","4,2",0,"0,0","0,000","0,0",1,"2,1","0,412","2,1",4,"47,6","2,640","0,0","11,9",1,"0,224","23,7",79,39,2
150,26,5,1,1,"60,0","5,065","0,046",2,"16,8","0,912","8,4",4,"38,9","3,109","9,7",1,"4,3","1,044","4,3",0,"0,0","0,000",,"0,0",0,"0,559","27,2",0,45,"1,00"
153,26,5,1,4,"60,0","5,058","0,026",3,"32,1","1,698","10,7",1,"0,5","0,129","0,5",2,"4,1","0,724","2,0",3,"23,4","2,507","4,8","7,8",0,"0,294","22,9",39,38,"0,00"
11,38,7,1,3,"43,3","5,014","0,091",1,"0,7","0,237","0,7",3,"3,6","0,659","1,2",4,"17,8","1,852","4,5",3,"21,3","2,266","10,3","7,1",1,"0,235","20,1",49,46,"1,00"
170,21,3,3,2,"60,0","4,997","0,133",0,"0,0","0,000","0,0",2,"4,5","1,052","2,3",2,"7,3","1,757","3,7",2,"7,2","1,131","6,8","3,6",0,"0,553","19,6",12,33,0
86,31,6,2,1,"25,9","4,990","0,143",1,"3,0","0,937","3,0",2,"6,0","1,550","3,0",2,"2,6","0,859","1,3",2,"14,2","1,645","3,2","7,1",0,"0,296","11,0",55,42,"2,00"
203,29,5,3,2,"27,8","4,988","0,062",2,"5,1","1,642","2,6",2,"2,2","0,724","1,1",2,"11,5","1,234","5,7",3,"8,9","1,388","0,0","3,0",1,"0,296","11,9",32,43,"1,00"
73,5,1,4,1,"29,5","4,986","0,102",3,"3,5","1,326","1,2",2,"3,7","0,804","1,9",1,"1,8","0,523","1,8",3,"19,2","1,887","2,5","6,4",0,"0,230","15,4",65,52,0
221,28,5,4,4,"33,0","4,977","0,045",2,"6,5","1,347","3,3",0,"0,0","0,000","0,0",1,"7,0","1,297","7,0",4,"19,5","2,333","0,0","4,9",0,"0,221","12,6",59,38,"0,00"
12,38,7,1,4,"29,5","4,965","0,191",3,"6,5","0,800","2,2",0,"0,0","0,000","0,0",2,"6,4","1,348","3,2",5,"16,7","2,817","0,0","3,3",0,"0,239","11,7",57,40,"0,00"
26,17,2,1,2,"60,0","4,925","0,078",0,"0,0","0,000","0,0",1,"1,8","0,000","1,8",2,"10,4","1,682","5,2",2,"11,8","1,575","14,1","5,9",0,"0,527","28,9",20,48,0
46,14,2,2,2,"38,5","4,868","0,075",1,"0,2","0,103","0,2",1,"1,2","0,422","1,2",1,"0,3","0,115","0,3",2,"26,4","2,239","6,9","13,2",1,"0,249","14,2",69,37,1
138,34,6,4,2,"26,2","4,865","0,047",1,"2,0","0,500","2,0",1,"0,4","0,131","0,4",3,"8,4","2,182","2,8",4,"15,4","2,051","0,0","3,8",0,"0,187","12,8",59,49,"2,00"
88,31,6,2,3,"34,6","4,852","0,138",1,"1,2","0,445","1,2",2,"4,8","0,906","2,4",4,"9,6","1,290","2,4",3,"19,0","2,210","5,6","6,3",0,"0,247","17,6",55,51,"2,00"
91,7,1,5,1,"0,0","4,804","0,078",1,"2,5","0,626","2,5",0,"0,0","0,000","0,0",3,"5,7","1,280","1,9",4,"50,1","2,389","0,0","12,5",1,"0,249","11,3",84,19,2
111,32,6,3,3,"24,3","4,742","0,156",2,"5,5","1,453","2,7",2,"1,9","0,539","1,0",1,"6,6","1,313","6,6",2,"10,3","1,437","5,1","5,2",1,"0,332","11,6",42,48,"3,00"
236,22,4,1,2,"28,0","4,734","0,084",0,"0,0","0,000","0,0",1,"4,7","1,147","4,7",3,"7,2","1,721","2,4",2,"16,0","1,866","1,1","8,0",2,"0,319","11,5",57,41,"3,00"
167,30,5,1,2,"52,3","4,726","0,055",4,"24,4","1,494","6,1",0,"0,0","0,000","0,0",0,"0,0","0,000","0,0",5,"27,9","3,232","0,0","5,6",0,"0,212","23,6",53,45,"0,00"
245,24,4,1,3,"34,1","4,697","0,102",1,"5,6","1,316","5,6",0,"0,0","0,000","0,0",2,"21,1","2,478","10,5",3,"7,4","0,903","10,4","2,5",1,"0,322","14,5",22,43,"2,00"
11,13,2,1,3,"60,0","4,685","0,171",0,"0,0","0,000","0,0",1,"1,5","0,172","1,5",2,"23,4","2,128","11,7",2,"33,1","2,235","12,0","16,6",0,"0,390","39,2",55,65,0
45,14,2,2,1,"23,9","4,656","0,134",1,"0,2","0,106","0,2",3,"2,1","0,296","0,7",2,"5,1","1,690","2,6",2,"12,4","1,145","6,9","6,2",1,"0,336","8,2",52,34,2
52,7,1,2,4,"25,2","4,624","0,031",3,"7,4","1,600","2,5",0,"0,0","0,000","0,0",1,"6,0","1,149","6,0",4,"10,4","1,513","1,1","2,6",0,"0,216","10,6",41,42,1
14,39,7,1,2,"29,0","4,604","0,093",2,"7,5","1,188","3,7",0,"0,0","0,000","0,0",1,"2,1","0,374","2,1",4,"19,4","3,042","0,0","4,8",1,"0,212","14,9",67,51,"1,00"
96,18,2,3,4,"28,6","4,554","0,075",0,"0,0","0,000","0,0",2,"3,5","0,696","1,7",3,"9,1","1,329","3,0",2,"12,1","1,762","13,5","6,0",1,"0,286","14,8",42,52,1
51,7,1,2,3,"24,7","4,536","0,020",2,"6,5","1,464","3,2",0,"0,0","0,000","0,0",1,"6,0","1,121","6,0",4,"10,7","1,545","0,0","2,7",0,"0,221","10,0",43,40,1
90,6,1,5,1,,"4,521","0,172",1,"25,1","0,539","25,1",0,"0,0","0,000","0,0",2,"6,5","0,766","3,3",2,"27,1","3,120","25,2","13,5",0,"0,301","15,1",45,25,0
31,18,2,1,3,"60,0","4,507","0,205",0,"0,0","0,000","0,0",1,"0,3","0,113","0,3",1,"0,4","0,000","0,4",3,"54,1","2,244","2,9","18,0",0,"0,257","26,0",90,43,1
19,5,1,1,3,"21,6","4,495","0,171",1,"4,5","0,875","4,5",2,"3,9","1,565","1,9",1,"5,1","0,865","5,1",1,"7,2","0,100","14,4","7,2",0,"0,324","8,5",33,39,1
237,22,4,1,3,"28,7","4,450","0,138",2,"6,9","1,729","3,5",1,"2,2","0,395","2,2",1,"2,0","0,448","2,0",2,"17,5","1,878","2,0","8,8",0,"0,272","13,4",61,47,"0,00"
12,13,2,1,4,"60,0","4,440","0,082",1,"0,2","0,068","0,2",2,"28,5","1,681","14,2",1,"2,8","0,109","2,8",1,"2,6","0,533","0,0","2,6",0,"0,649","31,2",4,52,1
212,26,5,4,3,"49,2","4,418","0,187",1,"12,5","1,481","12,5",6,"1,6","0,100","0,3",7,"23,2","1,560","3,3",2,"11,8","1,276","29,5","5,9",0,"0,312","26,4",24,54,"0,00"
97,33,6,2,4,"22,0","4,369","0,107",2,"6,3","1,359","3,2",1,"3,2","0,822","3,2",2,"4,7","0,998","2,3",3,"7,8","1,190","2,6","2,6",1,"0,365","8,6",35,39,"1,00"
50,15,2,2,2,"25,7","4,300","0,048",0,"0,0","0,000","0,0",2,"1,9","0,444","1,0",1,"5,3","0,949","5,3",3,"13,6","1,765","0,0","4,5",1,"0,315","11,3",53,44,0
172,21,3,3,4,"28,1","4,298","0,169",0,"0,0","0,000","0,0",2,"2,6","0,660","1,3",2,"4,5","0,794","2,3",2,"13,0","1,661","4,0","6,5",0,"0,233","12,8",46,46,2
238,22,4,1,4,"30,7","4,277","0,149",2,"7,1","1,313","3,6",1,"5,0","0,893","5,0",1,"3,4","0,899","3,4",2,"15,2","1,173","3,6","7,6",0,"0,316","12,7",50,41,"0,00"
111,14,2,4,3,"22,2","4,267","0,053",0,"0,0","0,000","0,0",2,"1,6","0,360","0,8",3,"7,3","1,670","2,4",4,"10,2","1,428","0,0","2,5",1,"0,240","10,1",46,45,0
6,12,2,1,2,"60,0","4,260","0,132",0,"0,0","0,000","0,0",1,"21,9","0,819","21,9",2,"3,8","0,592","1,9",3,"6,7","0,658","1,9","2,2",0,"0,555","40,0",11,67,1
148,21,3,1,4,"60,0","4,235","0,140",1,"0,1","0,028","0,1",0,"0,0","0,000","0,0",3,"4,1","1,243","1,4",2,"40,1","0,443","5,7","20,0",0,"0,304","18,9",67,32,1
76,13,2,3,4,"24,3","4,156","0,120",1,"0,2","0,077","0,2",1,"4,3","0,939","4,3",1,"4,1","0,728","4,1",2,"10,6","1,285","4,3","5,3",1,"0,327","11,6",44,48,2
157,27,5,1,4,"35,6","4,112","0,095",2,"4,0","0,334","2,0",1,"4,3","0,520","4,3",2,"10,7","1,756","5,4",3,"16,5","1,502","0,7","5,5",0,"0,289","15,4",46,43,"0,00"
169,30,5,1,4,"27,1","4,071","0,182",2,"6,9","0,989","3,4",1,"2,7","0,817","2,7",1,"4,7","0,955","4,7",2,"12,8","1,310","8,3","6,4",0,"0,330","13,4",47,49,"0,00"
93,32,6,2,4,"23,9","3,967","0,101",2,"6,4","1,059","3,2",1,"3,6","0,875","3,6",1,"3,7","1,060","3,7",2,"10,3","0,973","0,8","5,1",1,"0,329","12,4",43,52,"2,00"
127,18,2,4,3,"21,0","3,962","0,086",0,"0,0","0,000","0,0",1,"0,5","0,119","0,5",4,"9,4","2,252","2,4",3,"9,4","1,236","0,0","3,1",1,"0,251","8,4",45,40,1
104,35,6,2,3,"19,0","3,959","0,090",1,"1,6","0,498","1,6",1,"3,2","0,850","3,2",2,"4,8","1,229","2,4",2,"9,4","1,382","3,1","4,7",0,"0,278","7,6",49,40,"1,00"
251,22,4,2,1,"25,0","3,890","0,203",2,"6,6","1,715","3,3",1,"4,2","0,910","4,2",1,"1,2","0,407","1,2",2,"13,0","0,857","2,8","6,5",1,"0,311","9,8",52,39,"0,00"
167,20,3,3,3,"24,1","3,832","0,084",1,"0,1","0,028","0,1",3,"2,9","0,649","1,0",3,"12,1","1,226","4,0",1,"2,0","0,407","10,9","2,0",1,"0,405","8,8",8,37,3
81,15,2,3,1,"20,1","3,787","0,040",0,"0,0","0,000","0,0",2,"2,1","0,510","1,0",2,"6,6","1,297","3,3",2,"8,6","1,005","0,0","4,3",2,"0,281","7,4",43,37,1
7,12,2,1,3,"60,0","3,751","0,275",0,"0,0","0,000","0,0",1,"18,4","0,839","18,4",2,"5,1","0,705","2,6",1,"5,4","0,821","24,1","5,4",0,"0,592","23,6",9,39,0
3,36,7,1,3,"34,9","3,666","0,197",1,"5,4","0,361","5,4",0,"0,0","0,000","0,0",2,"11,5","1,511","5,7",3,"18,0","1,795","7,7","6,0",2,"0,309","17,5",52,50,"1,00"
163,29,5,1,2,"38,4","3,654","0,070",1,"2,7","0,466","2,7",0,"0,0","0,000","0,0",1,"7,2","0,991","7,2",3,"28,5","2,197","0,0","9,5",0,"0,152","16,7",74,43,"1,00"
216,27,5,4,3,"60,0","3,644","0,225",1,"53,7","2,656","53,7",0,"0,0","0,000","0,0",1,"2,9","0,438","2,9",1,"3,3","0,549","2,9","3,3",0,"0,318","23,7",6,39,"2,00"
46,6,1,2,2,"27,4","3,531","0,151",1,"1,0","0,203","1,0",0,"0,0","0,000","0,0",3,"9,2","1,411","3,1",2,"14,7","1,659","10,3","7,3",0,"0,268","13,6",54,50,0
277,25,4,3,3,"15,0","3,515","0,088",1,"3,0","0,864","3,0",1,"2,3","0,529","2,3",3,"3,3","1,024","1,1",3,"6,5","1,097","0,6","2,2",1,"0,303","6,1",43,41,"1,00"
41,5,1,2,1,"19,3","3,466","0,129",2,"9,1","1,884","4,5",1,"2,0","0,619","2,0",1,"1,1","0,346","1,1",2,"5,6","0,098","9,2","2,8",0,"0,266","5,6",29,29,0
154,27,5,1,1,"26,9","3,461","0,223",2,"5,4","1,032","2,7",2,"11,2","1,917","5,6",0,"0,0","0,000","0,0",1,"10,3","0,512","16,6","10,3",0,"0,376","12,6",38,47,"0,00"
56,8,1,2,4,"21,5","3,433","0,169",1,"3,3","0,590","3,3",0,"0,0","0,000","0,0",1,"1,5","0,425","1,5",3,"14,9","2,080","3,4","5,0",1,"0,210","9,4",69,44,0
290,24,4,4,4,"21,2","3,415","0,129",2,"3,6","0,734","1,8",1,"0,4","0,063","0,4",2,"6,3","1,272","3,1",3,"11,0","1,347","1,2","3,7",0,"0,198","10,1",52,48,"2,00"
125,31,6,4,1,"17,2","3,404","0,186",2,"5,3","1,054","2,6",2,"3,5","1,025","1,7",2,"2,5","0,609","1,2",2,"5,9","0,716","9,7","3,0",1,"0,322","7,4",34,43,"0,00"
168,30,5,1,3,"24,1","3,396","0,202",1,"2,5","0,271","2,5",0,"0,0","0,000","0,0",2,"6,6","0,968","3,3",3,"15,1","2,157","1,6","5,0",0,"0,232","11,3",63,47,"0,00"
200,28,5,3,3,"25,4","3,393","0,225",0,"0,0","0,000","0,0",0,"0,0","0,000","0,0",2,"9,4","1,420","4,7",2,"16,0","1,973","4,3","8,0",1,"0,230","14,0",63,55,"0,00"
224,29,5,4,3,"26,8","3,375","0,237",3,"6,6","1,332","2,2",2,"5,3","1,062","2,7",1,"0,7","0,075","0,7",2,"14,2","0,905","2,6","7,1",1,"0,251","7,4",53,28,"0,00"
63,18,2,2,3,"18,1","3,364","0,173",0,"0,0","0,000","0,0",1,"1,6","0,435","1,6",2,"1,3","0,186","0,6",3,"9,0","1,164","3,3","3,0",1,"0,286","8,3",50,46,0
28,17,2,1,4,"23,6","3,291","0,077",0,"0,0","0,000","0,0",0,"0,0","0,000","0,0",1,"2,7","0,548","2,7",3,"16,8","2,123","0,0","5,6",0,"0,200","10,5",71,44,0
158,21,3,2,2,"60,0","3,241","0,206",1,"0,1","0,053","0,1",0,"0,0","0,000","0,0",1,"0,7","0,188","0,7",2,"52,7","1,851","3,4","26,4",0,"0,256","22,8",88,38,1
105,31,6,3,1,"16,2","3,235","0,246",2,"5,0","1,098","2,5",1,"1,3","0,395","1,3",2,"4,6","1,158","2,3",3,"5,3","0,584","3,8","1,8",2,"0,294","7,6",33,47,"1,00"
123,17,2,4,3,"21,1","3,217","0,022",1,"0,2","0,050","0,2",0,"0,0","0,000","0,0",1,"2,1","0,320","2,1",4,"13,2","1,525","0,0","3,3",1,"0,178","7,9",63,37,1
68,37,7,4,4,"21,8","3,213","0,139",2,"13,1","1,928","6,6",0,"0,0","0,000","0,0",0,"0,0","0,000","0,0",2,"8,7","1,286","10,5","4,3",0,"0,220","10,5",40,48,"0,00"
48,37,7,3,4,"22,3","3,167","0,125",2,"12,5","1,868","6,3",0,"0,0","0,000","0,0",0,"0,0","0,000","0,0",2,"9,7","1,299","9,9","4,9",0,"0,208","10,5",43,47,"0,00"
226,30,5,4,1,"14,1","3,157","0,259",2,"5,5","1,547","2,7",2,"4,6","1,225","2,3",0,"0,0","0,000","0,0",1,"4,0","0,385","10,1","4,0",1,"0,411","7,2",28,51,"1,00"
156,27,5,1,3,"33,3","3,140","0,271",2,"9,9","1,136","4,9",2,"4,1","0,894","2,0",1,"3,6","0,660","3,6",2,"15,8","0,450","10,9","7,9",0,"0,252","18,2",47,55,"0,00"
115,15,2,4,3,"14,8","3,122","0,147",0,"0,0","0,000","0,0",0,"0,0","0,000","0,0",1,"2,2","0,702","2,2",2,"4,6","0,602","5,4","2,3",1,"0,266","6,8",31,46,0
67,3,1,4,3,"18,6","3,119","0,065",1,"2,5","0,579","2,5",1,"3,3","0,843","3,3",1,"1,9","0,545","1,9",2,"10,1","0,992","0,0","5,0",0,"0,274","8,6",54,46,0
71,4,1,4,3,"20,0","3,047","0,144",2,"3,2","0,737","1,6",2,"3,7","0,554","1,9",1,"1,6","0,303","1,6",2,"10,7","1,322","4,4","5,4",0,"0,173","8,7",53,43,0
254,22,4,2,4,"36,6","3,008","0,077",1,"12,7","1,580","12,7",0,"0,0","0,000","0,0",0,"0,0","0,000","0,0",2,"24,0","1,428","0,0","12,0",0,"0,197","16,0",66,44,"0,00"
178,20,3,4,2,"15,3","2,969","0,266",0,"0,0","0,000","0,0",0,"0,0","0,000","0,0",1,"3,9","0,704","3,9",2,"5,2","0,817","4,1","2,6",1,"0,352","6,7",34,44,0
211,26,5,4,2,"60,0","2,855","0,214",3,"29,3","1,772","9,8",2,"2,1","0,386","1,0",1,"2,9","0,587","2,9",2,"25,8","0,110","34,2","12,9",0,"0,288","28,5",43,48,"4,00"
102,9,1,2,3,"60,0","2,832","0,246",1,"0,6","1,120","0,6",1,"52,7","0,288","52,7",1,"1,6","0,130","1,6",2,"3,4","1,168","1,9","1,7",0,"0,585","3,7",6,6,0
279,22,4,4,1,"15,4","2,823","0,254",2,"1,5","0,428","0,7",2,"3,4","1,127","1,7",1,"4,0","0,792","4,0",1,"6,6","0,476","8,8","6,6",0,"0,304","7,1",43,46,"1,00"
25,37,7,2,1,"13,1","2,811","0,268",1,"0,9","0,241","0,9",1,"1,8","0,595","1,8",1,"3,8","1,135","3,8",2,"6,7","0,840","5,6","3,3",1,"0,287","6,2",51,47,"1,00"
91,17,2,3,3,"19,4","2,793","0,156",0,"0,0","0,000","0,0",2,"4,5","0,588","2,3",2,"9,2","1,689","4,6",1,"4,8","0,287","14,6","4,8",1,"0,410","8,9",25,46,0
217,27,5,4,4,"55,4","2,791","0,149",1,"41,6","1,871","41,6",1,"2,6","0,498","2,6",1,"0,2","0,051","0,2",1,"10,9","0,370","44,5","10,9",0,"0,252","19,7",20,36,"1,00"
227,30,5,4,2,"17,4","2,770","0,025",3,"6,0","1,520","2,0",1,"1,1","0,403","1,1",0,"0,0","0,000","0,0",3,"10,3","0,846","0,0","3,4",0,"0,191","5,8",59,33,"0,00"
184,21,3,4,4,"16,0","2,760","0,227",1,"0,1","0,025","0,1",2,"4,4","1,027","2,2",0,"0,0","0,000","0,0",1,"5,1","0,275","10,9","5,1",1,"0,310","6,8",32,43,1
189,30,5,2,4,"19,4","2,755","0,167",2,"2,6","0,489","1,3",1,"6,8","1,195","6,8",1,"4,6","0,680","4,6",2,"5,4","0,392","2,4","2,7",0,"0,336","10,2",28,53,"2,00"
281,22,4,4,3,"19,8","2,754","0,280",1,"3,2","0,629","3,2",1,"0,7","0,216","0,7",1,"11,4","1,667","11,4",1,"4,4","0,241","15,4","4,4",0,"0,293","10,1",22,51,"2,00"
177,27,5,2,4,"60,0","2,743","0,245",1,"7,0","0,464","7,0",0,"0,0","0,000","0,0",0,"0,0","0,000","0,0",1,"53,0","2,279","7,0","53,0",0,"0,133","24,8",88,41,"0,00"
64,36,7,4,4,"18,4","2,737","0,144",1,"0,7","0,252","0,7",2,"0,7","0,189","0,4",2,"3,4","0,911","1,7",2,"13,6","1,385","0,0","6,8",0,"0,155","7,9",74,43,"0,00"
286,23,4,4,4,"12,2","2,737","0,124",2,"3,1","0,772","1,6",0,"0,0","0,000","0,0",1,"3,0","0,605","3,0",3,"6,1","1,360","0,5","2,0",1,"0,207","4,7",50,39,"0,00"
293,25,4,4,3,"19,2","2,722","0,249",1,"4,9","1,153","4,9",1,"0,5","0,180","0,5",1,"2,8","0,414","2,8",1,"10,9","0,976","8,2","10,9",1,"0,241","8,6",57,45,"1,00"
215,27,5,4,2,"39,9","2,693","0,051",1,"20,6","1,296","20,6",0,"0,0","0,000","0,0",0,"0,0","0,000","0,0",2,"19,4","1,397","0,0","9,7",0,"0,236","16,2",49,41,"1,00"
114,15,2,4,2,"17,5","2,678","0,256",0,"0,0","0,000","0,0",1,"1,4","0,482","1,4",2,"4,4","0,383","2,2",2,"10,0","1,153","5,9","5,0",0,"0,244","7,5",57,43,0
33,39,7,2,1,"13,1","2,643","0,258",1,"0,7","0,158","0,7",1,"2,0","0,853","2,0",1,"5,3","1,343","5,3",1,"5,1","0,289","8,0","5,1",0,"0,311","6,2",39,47,"0,00"
40,40,7,2,4,"19,4","2,642","0,212",1,"8,0","1,185","8,0",0,"0,0","0,000","0,0",1,"1,9","0,308","1,9",2,"9,5","1,148","8,0","4,7",0,"0,245","11,0",49,57,"0,00"
184,29,5,2,3,"60,0","2,639","0,247",0,"0,0","0,000","0,0",1,"0,6","0,050","0,6",1,"5,4","0,955","5,4",1,"54,0","1,633","6,0","54,0",1,"0,188","19,1",90,32,"0,00"
75,5,1,4,3,"16,7","2,626","0,151",2,"5,0","0,781","2,5",0,"0,0","0,000","0,0",1,"3,0","0,656","3,0",2,"7,2","0,894","6,0","3,6",0,"0,182","8,7",43,52,0
47,37,7,3,3,"17,7","2,604","0,256",1,"3,0","0,795","3,0",1,"1,1","0,191","1,1",1,"0,4","0,133","0,4",2,"13,2","1,484","1,5","6,6",0,"0,146","8,5",75,48,"0,00"
44,36,7,3,4,"16,9","2,600","0,111",1,"0,8","0,275","0,8",2,"0,6","0,147","0,3",2,"3,6","0,989","1,8",2,"12,0","1,189","0,0","6,0",0,"0,163","7,3",71,43,"0,00"
67,37,7,4,3,"16,8","2,600","0,249",1,"3,0","0,832","3,0",1,"1,0","0,166","1,0",1,"0,4","0,158","0,4",2,"12,4","1,445","1,5","6,2",0,"0,151","8,1",74,48,"0,00"
117,16,2,4,1,"18,3","2,589","0,090",0,"0,0","0,000","0,0",0,"0,0","0,000","0,0",2,"1,2","0,166","0,6",4,"13,7","1,795","0,0","3,4",0,"0,109","7,2",75,39,0
106,31,6,3,2,"13,1","2,585","0,149",1,"4,7","1,086","4,7",1,"0,6","0,222","0,6",1,"2,5","0,598","2,5",1,"5,3","0,679","7,8","5,3",0,"0,264","5,7",40,44,"1,00"
291,25,4,4,1,"14,5","2,582","0,300",2,"4,4","0,582","2,2",3,"3,2","0,857","1,1",1,"1,9","0,693","1,9",1,"5,0","0,450","9,5","5,0",1,"0,391","7,7",34,53,"1,00"
78,40,7,4,2,"21,0","2,559","0,123",1,"2,1","0,518","2,1",0,"0,0","0,000","0,0",1,"1,5","0,142","1,5",2,"17,5","1,898","1,5","8,7",0,"0,123","10,4",83,50,"0,00"
55,16,2,2,3,"19,3","2,550","0,243",0,"0,0","0,000","0,0",1,"3,4","0,624","3,4",2,"8,8","1,400","4,4",2,"5,6","0,256","3,5","2,8",1,"0,344","9,4",29,49,0
183,29,5,2,2,"60,0","2,534","0,353",2,"30,1","0,927","15,1",0,"0,0","0,000","0,0",0,"0,0","0,000","0,0",2,"29,9","1,607","0,0","14,9",0,"0,412","20,8",50,35,"0,00"
142,35,6,4,2,"12,3","2,475","0,083",1,"0,2","0,054","0,2",1,"1,2","0,377","1,2",1,"2,3","0,677","2,3",2,"8,6","1,367","0,0","4,3",1,"0,184","4,3",70,35,"0,00"
58,40,7,3,2,"20,1","2,457","0,108",1,"2,0","0,479","2,0",0,"0,0","0,000","0,0",1,"1,2","0,089","1,2",2,"16,9","1,890","1,2","8,4",0,"0,124","9,8",84,49,"0,00"
283,23,4,4,1,"12,0","2,437","0,294",1,"1,7","0,656","1,7",2,"2,1","0,670","1,0",1,"0,7","0,315","0,7",2,"7,4","0,796","2,3","3,7",0,"0,134","5,3",62,44,"0,00"
192,26,5,3,3,"19,2","2,431","0,302",1,"4,8","0,895","4,8",1,"4,4","0,760","4,4",1,"4,7","0,389","4,7",1,"5,3","0,386","13,8","5,3",2,"0,425","9,6",28,50,"0,00"
117,34,6,3,1,"13,5","2,422","0,228",1,"1,4","0,227","1,4",2,"6,7","1,487","3,3",2,"2,1","0,499","1,0",1,"3,4","0,209","10,2","3,4",1,"0,491","6,3",25,47,"0,00"
36,2,1,2,4,"17,2","2,357","0,143",2,"3,9","0,477","2,0",0,"0,0","0,000","0,0",0,"0,0","0,000","0,0",3,"12,3","1,545","0,0","4,1",1,"0,098","7,3",72,42,1
139,34,6,4,3,"19,1","2,346","0,302",0,"0,0","0,000","0,0",0,"0,0","0,000","0,0",2,"7,5","1,422","3,7",2,"11,7","0,924","2,8","5,8",0,"0,175","8,0",61,42,"1,00"
179,20,3,4,3,"14,2","2,331","0,122",0,"0,0","0,000","0,0",0,"0,0","0,000","0,0",0,"0,0","0,000","0,0",2,"9,5","1,553","2,4","4,8",1,"0,151","5,9",67,42,0
171,21,3,3,3,"17,2","2,315","0,088",0,"0,0","0,000","0,0",0,"0,0","0,000","0,0",0,"0,0","0,000","0,0",2,"13,4","1,561","0,0","6,7",2,"0,182","6,5",78,38,0
